"globaleventid","day","monthyear","year","fractiondate","actor1code","actor1name","actor1countrycode","actor1knowngroupcode","actor1ethniccode","actor1religion1code","actor1religion2code","actor1type1code","actor1type2code","actor1type3code","actor2code","actor2name","actor2countrycode","actor2knowngroupcode","actor2ethniccode","actor2religion1code","actor2religion2code","actor2type1code","actor2type2code","actor2type3code","isrootevent","eventcode","eventbasecode","eventrootcode","quadclass","goldsteinscale","nummentions","numsources","numarticles","avgtone","actor1geo_type","actor1geo_fullname","actor1geo_countrycode","actor1geo_adm1code","actor1geo_lat","actor1geo_long","actor1geo_featureid","actor2geo_type","actor2geo_fullname","actor2geo_countrycode","actor2geo_adm1code","actor2geo_lat","actor2geo_long","actor2geo_featureid","actiongeo_type","actiongeo_fullname","actiongeo_countrycode","actiongeo_adm1code","actiongeo_lat","actiongeo_long","actiongeo_featureid","dateadded","sourceurl"
"121918276","20110418","201104","2011","2011.2959","SYR","SYRIAN","SYR","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","5.6353593","4","Beirut, Beyrouth, Lebanon","LE","LE04","33.8719","35.5097","-801546","4","Beirut, Beyrouth, Lebanon","LE","LE04","33.8719","35.5097","-801546","4","Beirut, Beyrouth, Lebanon","LE","LE04","33.8719","35.5097","-801546","20130203",
"121918277","20110418","201104","2011","2011.2959","SYR","SYRIAN","SYR","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","5","5","5.611558","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","20130203",
"121918278","20110418","201104","2011","2011.2959","SYR","SYRIAN","SYR","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","1","1","1","5.704698","1","United Kingdom","UK","UK","54.0","-2.0","0","4","Damascus, Dimashq, Syria","SY","SY13","33.5","36.3","-2541260","4","Damascus, Dimashq, Syria","SY","SY13","33.5","36.3","-2541260","20130203",
"121918840","20110418","201104","2011","2011.2959","SYROPP","SYRIAN","SYR","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","45","9","45","5.669092","4","Cairo, Al Qahirah, Egypt","EG","EG11","30.05","31.25","-290692","4","Cairo, Al Qahirah, Egypt","EG","EG11","30.05","31.25","-290692","4","Cairo, Al Qahirah, Egypt","EG","EG11","30.05","31.25","-290692","20130203",
"121918841","20110418","201104","2011","2011.2959","SYROPP","SYRIAN","SYR","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","5.6353593","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","20130203",
"121986604","20110419","201104","2011","2011.2986","GOV","PRESIDENT","","","","","","GOV","","","OPP","PROTESTER","","","","","","OPP","","",,"1411","141","14","3","-6.5","3","1","3","6.4102564","4","Sharm El-Sheikh, Janub Sina', Egypt","EG","EG26","27.8518","34.305","-302053","4","Sharm El-Sheikh, Janub Sina', Egypt","EG","EG26","27.8518","34.305","-302053","4","Sharm El-Sheikh, Janub Sina', Egypt","EG","EG26","27.8518","34.305","-302053","20130203",
"443275643","20150623","201506","2015","2015.474","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"1411","141","14","3","-6.5","8","1","8","-10.091743","4","Mumbai, Maharashtra, India","IN","IN16","18.975","72.8258","-2092174","0","","","",,,,"4","Mumbai, Maharashtra, India","IN","IN16","18.975","72.8258","-2092174","20150623","http://wwv.asianage.com/mumbai/congress-wants-vinod-tawde-resign-805"
"204676746","20120512","201205","2012","2012.3616","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"1411","141","14","3","-6.5","5","1","5","5.8047495","4","Trisakti, Sulawesi Tenggara, Indonesia","ID","ID22","-4.0699","122.296","10418096","0","","","","0.0","0.0","0","4","Trisakti, Sulawesi Tenggara, Indonesia","ID","ID22","-4.0699","122.296","10418096","20130203",
"204681344","20120512","201205","2012","2012.3616","IDN","INDONESIA","IDN","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","4","1","4","5.8047495","4","Trisakti, Sulawesi Tenggara, Indonesia","ID","ID22","-4.0699","122.296","10418096","4","Trisakti, Sulawesi Tenggara, Indonesia","ID","ID22","-4.0699","122.296","10418096","4","Trisakti, Sulawesi Tenggara, Indonesia","ID","ID22","-4.0699","122.296","10418096","20130203",
"204737161","20120513","201205","2012","2012.3644","CRM","ASSAILANT","","","","","","CRM","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","3.002611","4","Jakarta, Jakarta Raya, Indonesia","ID","ID04","-6.17444","106.829","-2679652","4","Jakarta, Jakarta Raya, Indonesia","ID","ID04","-6.17444","106.829","-2679652","4","Jakarta, Jakarta Raya, Indonesia","ID","ID04","-6.17444","106.829","-2679652","20130203",
